db,query_id,median,mean,std,p95,min,max,n
mongo,1,80.51785,237.83229374999996,377.5262717275828,1232.3301049999998,6.3228,1289.2047,48
mongo,2,72.83789999999999,218.33591250000003,359.3340868224513,1181.89299,4.7285,1258.3835,48
mongo,3,4.51305,4.67533125,1.8349210361763963,6.826154999999999,2.458,11.9459,48
mongo,4,11.037500000000001,11.565427083333333,2.8191402577879443,15.9423,7.5165,23.7965,48
mongo,5,887.3769,901.7269,63.08495384109246,1009.93201,829.6041,1156.565,48
mongo,6,4.3044,4.580920833333333,0.8502567084093107,6.02654,3.7923,7.2784,48
mongo,7,1351.9529499999999,1271.5182125000001,294.75549181852955,1547.5145750000001,555.2122,1592.0545,48
mongo,8,90.98429999999999,423.7957083333333,635.1473654276009,1830.50759,15.8955,1881.4882,48
neo4j,1,17.31655,55.355379166666665,81.04314071268819,254.558705,5.6896,307.2667,48
neo4j,2,18.17155,51.029864583333335,76.55533044772395,232.85939,5.9974,315.7876,48
neo4j,3,9.386099999999999,9.945854166666667,2.836302921579603,14.078569999999997,6.7223,21.4833,48
neo4j,4,8.94515,10.085949999999999,4.309627505698415,15.746959999999998,5.974,29.065,48
neo4j,5,700.37545,714.8301687499999,45.2282105470062,794.3049349999999,662.7429,872.2544,48
neo4j,6,10.344899999999999,11.395810416666668,3.742909851248095,18.798,5.9381,20.7555,48
neo4j,7,421.43910000000005,414.6823645833333,52.44061066320233,489.226085,300.4287,528.8748,48
neo4j,8,33.873400000000004,144.91135,209.50201395451418,609.591545,10.517,664.9233,48
postgres,1,18.9008,34.868731249999996,36.996732393097226,120.243655,3.9107,130.5481,48
postgres,2,19.752200000000002,34.38667916666667,34.37319592943587,105.93294,4.1206,124.2413,48
postgres,3,3.1996,3.680752083333333,1.369576602999967,6.4529,1.6856,7.9956,48
postgres,4,3.9904,4.41350625,1.9469298879732444,6.891005,1.7577,12.2871,48
postgres,5,141.57375,146.3143354166667,17.60992160298242,177.60980999999998,124.394,208.8576,48
postgres,6,1.53935,1.5950770833333332,0.20441846758349502,2.018525,1.3013,2.1155,48
postgres,7,112.0667,114.20341041666667,10.956646547503047,132.8851,87.6537,137.2614,48
postgres,8,52.14915,146.34248541666668,200.6315697336469,593.628265,6.2359,604.9442,48
